Candidate Id,Candidate Name,Party,Incumbent,Total Receipts,Individual,PAC,PartyContribute,Candidate,Disbursements,Cash On Hand,Debt,Date Through,Committee Canlendar Year,Transfers to other Authorized
H0TX04136,"GIGLIOTTI, LOUIS PAUL",REPUBLICAN PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H4TX04039,"GOHMERT, LOUIE",REPUBLICAN PARTY,INCUMBENT,"$384338","$359753","$22500","$0","$0","$250652","$247238","$0","09/30/2011","$1","$0"
H8TX20077,"GONZALEZ, CHARLES A.",DEMOCRATIC PARTY,INCUMBENT,"$417269","$77111","$336000","$0","$0","$215031","$271972","$0","09/30/2011","$1","$0"
H2TX14131,"GONZALEZ, ROBERTO F",REPUBLICAN PARTY,OPEN,"$13927","$2335","$0","$0","$11592","$9219","$4708","$11592","09/30/2011","$1","$0"
H6TX12060,"GRANGER, KAY",REPUBLICAN PARTY,INCUMBENT,"$605451","$380757","$223025","$0","$0","$403820","$314830","$7919","09/30/2011","$1","$0"
H2TX25269,"GRANT, DANIEL SCOTT",DEMOCRATIC PARTY,CHALLENGER,"$0","$0","$0","$0","$0","$0","$0","$0", ,"$0","$0"
H4TX09095,"GREEN, ALEXANDER",DEMOCRATIC PARTY,INCUMBENT,"$127002","$78377","$39500","$0","$0","$131499","$185106","$29800","09/30/2011","$1","$23500"
H2TX29030,"GREEN, RAYMOND E. 'GENE'",DEMOCRATIC PARTY,INCUMBENT,"$355079","$85597","$269100","$0","$0","$216203","$717795","$200","09/30/2011","$1","$0"
H0TX04037,"HALL, RALPH MOODY",REPUBLICAN PARTY,INCUMBENT,"$243843","$108015","$100500","$0","$35000","$203208","$124088","$45000","09/30/2011","$1","$0"
H8TX22073,"HARPER, GEORGE",REPUBLICAN PARTY,OPEN,"$5614","$164","$0","$0","$5450","$5593","$22","$0","09/30/2011","$1","$0"
H2TX14123,"HARRIS, FELICIA",REPUBLICAN PARTY,OPEN,"$91276","$41276","$0","$0","$50000","$1686","$89590","$50000","09/30/2011","$1","$0"
